2025-03-04 15:47:43.354 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-03-04 15:47:43.367 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2025-03-04 15:47:43.368 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2025-03-04 15:47:43.380 [info] Discovered env: /bin/python3
2025-03-04 15:47:43.382 [info] Discovered env: /usr/bin/python3
2025-03-04 15:47:43.393 [info] Discovered env: /bin/python3.8
2025-03-04 15:47:43.393 [info] Discovered env: /usr/bin/python3.8
2025-03-04 15:47:43.419 [info] Resolved Python Environment /bin/python3
2025-03-04 15:47:43.462 [info] Locator Conda took 60.970663ms
2025-03-04 15:47:43.462 [info] Locator Homebrew took 489.947µs
2025-03-04 15:47:43.462 [info] Locator LinuxGlobal took 76.220834ms
2025-03-04 15:47:43.462 [info] Locator PipEnv took 394.21µs
2025-03-04 15:47:43.463 [info] Locator Poetry took 1.442667ms
2025-03-04 15:47:43.463 [info] Locator PyEnv took 1.600815ms
2025-03-04 15:47:43.463 [info] Locator Venv took 300.461µs
2025-03-04 15:47:43.463 [info] Locator VirtualEnv took 392.545µs
2025-03-04 15:47:43.463 [info] Locator VirtualEnvWrapper took 280.037µs
2025-03-04 15:47:43.463 [info] Locator GlobalVirtualEnvs took 42.476977ms
2025-03-04 15:47:43.463 [info] Locator Locators took 76.950052ms
2025-03-04 15:47:43.463 [info] Locator Path took 146.380624ms
2025-03-04 15:47:43.463 [info] Locator Workspaces took 16.760166ms
2025-03-04 15:47:43.463 [info] Refresh completed in 146ms
2025-03-04 15:56:56.446 [info] Resolved Python Environment /bin/python3
2025-03-04 16:00:57.823 [info] Resolved Python Environment /bin/python3
2025-03-04 16:05:43.062 [info] Resolved Python Environment /bin/python3
2025-03-04 16:08:10.384 [info] Resolved Python Environment /bin/python3
2025-03-04 16:14:30.481 [info] Resolved Python Environment /bin/python3
