2025-02-25 19:26:37.275 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-02-25 19:26:37.297 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2025-02-25 19:26:37.298 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2025-02-25 19:26:37.343 [info] Discovered env: /bin/python3
2025-02-25 19:26:37.344 [info] Discovered env: /usr/bin/python3
2025-02-25 19:26:37.344 [info] Discovered env: /bin/python3.8
2025-02-25 19:26:37.345 [info] Discovered env: /usr/bin/python3.8
2025-02-25 19:26:37.390 [info] Resolved Python Environment /bin/python3
2025-02-25 19:26:37.432 [info] Locator Conda took 52.956302ms
2025-02-25 19:26:37.432 [info] Locator Homebrew took 517.677µs
2025-02-25 19:26:37.433 [info] Locator LinuxGlobal took 70.837106ms
2025-02-25 19:26:37.433 [info] Locator PipEnv took 128.315µs
2025-02-25 19:26:37.433 [info] Locator Poetry took 1.286197ms
2025-02-25 19:26:37.433 [info] Locator PyEnv took 1.482717ms
2025-02-25 19:26:37.433 [info] Locator Venv took 81.285µs
2025-02-25 19:26:37.433 [info] Locator VirtualEnv took 83.991µs
2025-02-25 19:26:37.433 [info] Locator VirtualEnvWrapper took 203.871µs
2025-02-25 19:26:37.433 [info] Locator GlobalVirtualEnvs took 39.997944ms
2025-02-25 19:26:37.433 [info] Locator Locators took 71.743917ms
2025-02-25 19:26:37.433 [info] Locator Path took 166.225304ms
2025-02-25 19:26:37.433 [info] Locator Workspaces took 17.824254ms
2025-02-25 19:26:37.433 [info] Refresh completed in 166ms
2025-02-25 19:27:30.542 [info] Resolved Python Environment /bin/python3
