2025-02-17 12:33:58.251 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-02-17 12:33:58.251 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2025-02-17 12:33:58.251 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2025-02-17 12:33:58.274 [info] Discovered env: /bin/python3
2025-02-17 12:33:58.274 [info] Discovered env: /usr/bin/python3
2025-02-17 12:33:58.293 [info] Discovered env: /bin/python3.8
2025-02-17 12:33:58.293 [info] Discovered env: /usr/bin/python3.8
2025-02-17 12:33:58.325 [info] Resolved Python Environment /bin/python3
2025-02-17 12:33:58.433 [info] Locator Conda took 104.892512ms
2025-02-17 12:33:58.433 [info] Locator Homebrew took 1.184603ms
2025-02-17 12:33:58.433 [info] Locator LinuxGlobal took 128.179806ms
2025-02-17 12:33:58.433 [info] Locator PipEnv took 229.359µs
2025-02-17 12:33:58.433 [info] Locator Poetry took 3.229855ms
2025-02-17 12:33:58.433 [info] Locator PyEnv took 3.52742ms
2025-02-17 12:33:58.433 [info] Locator Venv took 83.272µs
2025-02-17 12:33:58.433 [info] Locator VirtualEnv took 165.821µs
2025-02-17 12:33:58.434 [info] Locator VirtualEnvWrapper took 127.207µs
2025-02-17 12:33:58.434 [info] Locator GlobalVirtualEnvs took 65.396509ms
2025-02-17 12:33:58.434 [info] Locator Locators took 129.857702ms
2025-02-17 12:33:58.434 [info] Locator Path took 272.456751ms
2025-02-17 12:33:58.434 [info] Locator Workspaces took 25.465489ms
2025-02-17 12:33:58.434 [info] Refresh completed in 272ms
2025-02-17 12:33:58.436 [info] Resolved Python Environment /usr/bin/python3
