2025-01-24 09:34:46.453 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-01-24 09:34:46.457 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2025-01-24 09:34:46.458 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2025-01-24 09:34:46.496 [info] Discovered env: /bin/python3
2025-01-24 09:34:46.500 [info] Discovered env: /usr/bin/python3
2025-01-24 09:34:46.509 [info] Discovered env: /bin/python3.8
2025-01-24 09:34:46.515 [info] Discovered env: /usr/bin/python3.8
2025-01-24 09:34:46.539 [info] Resolved Python Environment /bin/python3
2025-01-24 09:34:46.586 [info] Locator Conda took 72.526686ms
2025-01-24 09:34:46.586 [info] Locator Homebrew took 72.643µs
2025-01-24 09:34:46.587 [info] Locator LinuxGlobal took 90.943285ms
2025-01-24 09:34:46.587 [info] Locator PipEnv took 193.308µs
2025-01-24 09:34:46.587 [info] Locator Poetry took 1.104993ms
2025-01-24 09:34:46.587 [info] Locator PyEnv took 804.993µs
2025-01-24 09:34:46.587 [info] Locator Venv took 99.973µs
2025-01-24 09:34:46.587 [info] Locator VirtualEnv took 76.394µs
2025-01-24 09:34:46.587 [info] Locator VirtualEnvWrapper took 113.466µs
2025-01-24 09:34:46.587 [info] Locator GlobalVirtualEnvs took 44.516281ms
2025-01-24 09:34:46.587 [info] Locator Locators took 91.826138ms
2025-01-24 09:34:46.587 [info] Locator Path took 162.74908ms
2025-01-24 09:34:46.587 [info] Locator Workspaces took 17.397387ms
2025-01-24 09:34:46.587 [info] Refresh completed in 162ms
2025-01-24 09:36:23.145 [info] Resolved Python Environment /bin/python3
2025-01-24 09:37:48.043 [info] Resolved Python Environment /bin/python3
2025-01-24 09:38:20.200 [info] Resolved Python Environment /bin/python3
2025-01-24 09:39:34.653 [info] Resolved Python Environment /bin/python3
2025-01-24 09:41:57.189 [info] Resolved Python Environment /bin/python3
2025-01-24 09:42:30.895 [info] Resolved Python Environment /bin/python3
2025-01-24 09:49:45.334 [info] Resolved Python Environment /bin/python3
2025-01-24 10:10:58.076 [info] Resolved Python Environment /bin/python3
2025-01-24 10:52:08.640 [info] Resolved Python Environment /bin/python3
2025-01-24 10:53:57.656 [info] Resolved Python Environment /bin/python3
2025-01-24 10:54:57.760 [info] Resolved Python Environment /bin/python3
2025-01-24 12:01:25.515 [info] Resolved Python Environment /bin/python3
2025-01-24 12:02:13.502 [info] Resolved Python Environment /bin/python3
2025-01-24 12:05:16.756 [info] Resolved Python Environment /bin/python3
2025-01-24 12:09:18.283 [info] Resolved Python Environment /bin/python3
2025-01-24 12:11:20.863 [info] Resolved Python Environment /bin/python3
2025-01-24 12:12:24.826 [info] Resolved Python Environment /bin/python3
2025-01-24 12:14:20.317 [info] Resolved Python Environment /bin/python3
2025-01-24 12:18:36.173 [info] Resolved Python Environment /bin/python3
2025-01-24 12:19:36.270 [info] Resolved Python Environment /bin/python3
2025-01-24 12:21:12.786 [info] Resolved Python Environment /bin/python3
2025-01-24 14:47:21.588 [info] Resolved Python Environment /bin/python3
