2025-01-13 11:20:45.301 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-01-13 11:20:45.311 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2025-01-13 11:20:45.312 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2025-01-13 11:20:45.324 [info] Discovered env: /bin/python3
2025-01-13 11:20:45.327 [info] Discovered env: /usr/bin/python3
2025-01-13 11:20:45.335 [info] Discovered env: /bin/python3.8
2025-01-13 11:20:45.339 [info] Discovered env: /usr/bin/python3.8
2025-01-13 11:20:45.374 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:20:45.416 [info] Locator Conda took 58.379377ms
2025-01-13 11:20:45.416 [info] Locator Homebrew took 488.442µs
2025-01-13 11:20:45.417 [info] Locator LinuxGlobal took 74.031817ms
2025-01-13 11:20:45.417 [info] Locator PipEnv took 126.889µs
2025-01-13 11:20:45.417 [info] Locator Poetry took 1.097314ms
2025-01-13 11:20:45.417 [info] Locator PyEnv took 373.204µs
2025-01-13 11:20:45.417 [info] Locator Venv took 115.877µs
2025-01-13 11:20:45.417 [info] Locator VirtualEnv took 36.798µs
2025-01-13 11:20:45.417 [info] Locator VirtualEnvWrapper took 71.709µs
2025-01-13 11:20:45.417 [info] Locator GlobalVirtualEnvs took 37.868461ms
2025-01-13 11:20:45.417 [info] Locator Locators took 74.91866ms
2025-01-13 11:20:45.417 [info] Locator Path took 151.676128ms
2025-01-13 11:20:45.417 [info] Locator Workspaces took 16.838353ms
2025-01-13 11:20:45.417 [info] Refresh completed in 152ms
2025-01-13 11:21:27.360 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:25:17.016 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:25:48.827 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:26:58.265 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:27:29.369 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:30:50.525 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:57:42.983 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:58:44.919 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 11:59:56.800 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 12:00:48.272 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 12:22:50.248 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 12:23:55.690 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 13:49:30.605 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 13:55:04.517 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 13:55:46.166 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:00:23.718 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:01:20.044 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:02:03.373 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:03:08.782 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:11:21.064 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:22:36.436 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:24:06.780 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:36:02.387 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:37:31.260 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 14:39:16.173 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:03:24.712 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:16:37.850 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:23:00.332 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:29:45.669 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:36:01.975 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:36:38.288 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:43:51.871 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:54:23.043 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:54:54.159 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 15:58:34.105 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:05:24.423 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:05:55.348 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:06:35.947 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:08:01.932 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:08:38.359 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:10:41.164 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:11:18.549 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:13:40.450 [info] Resolved Python Environment /usr/bin/python3
2025-01-13 16:22:01.252 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 09:07:31.348 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 09:23:02.547 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 09:58:12.082 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 10:21:13.939 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 10:22:38.978 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 10:28:37.078 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 10:32:56.617 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 10:36:31.006 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 10:38:24.591 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 11:06:10.001 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 11:42:27.468 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 11:51:18.673 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 11:52:02.758 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 11:52:33.065 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 12:34:11.684 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 14:03:14.118 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 14:53:37.897 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 14:55:00.374 [info] Resolved Python Environment /usr/bin/python3
2025-01-14 15:02:39.061 [info] Resolved Python Environment /usr/bin/python3
