2024-08-11 12:02:51.905 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.12.2-linux-x64/python-env-tools/bin/pet server
2024-08-11 12:02:51.957 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2024-08-11 12:02:51.957 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2024-08-11 12:02:51.957 [info] Discovered env: /bin/python3
2024-08-11 12:02:51.957 [info] Discovered env: /usr/bin/python3
2024-08-11 12:02:51.957 [info] Discovered env: /bin/python3.8
2024-08-11 12:02:51.957 [info] Discovered env: /usr/bin/python3.8
2024-08-11 12:02:51.992 [info] Locator Conda took 79.210186ms
2024-08-11 12:02:51.992 [info] Locator Homebrew took 284.978µs
2024-08-11 12:02:51.992 [info] Locator LinuxGlobal took 87.379088ms
2024-08-11 12:02:51.992 [info] Locator PipEnv took 89.974µs
2024-08-11 12:02:51.992 [info] Locator Poetry took 530.735µs
2024-08-11 12:02:51.992 [info] Locator PyEnv took 1.258787ms
2024-08-11 12:02:51.992 [info] Locator Venv took 231.847µs
2024-08-11 12:02:51.992 [info] Locator VirtualEnv took 31.109µs
2024-08-11 12:02:51.992 [info] Locator VirtualEnvWrapper took 43.335µs
2024-08-11 12:02:51.992 [info] Locator GlobalVirtualEnvs took 50.614456ms
2024-08-11 12:02:51.993 [info] Locator Locators took 88.606262ms
2024-08-11 12:02:51.993 [info] Locator Path took 138.143305ms
2024-08-11 12:02:51.993 [info] Locator Workspaces took 17.178284ms
2024-08-11 12:02:51.993 [info] Refresh completed in 138ms
